NazwaInstytucji,NrRozliczeniowy,Miejscowosc
Santander Bank Polska Spółka Akcyjna,10901128,"Kalisz, ul. Parczewskiego 9A, 62-800"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401332,"Warszawa, ul. Chłodna 52, 00-872"
Bank Polska Kasa Opieki Spółka Akcyjna,12402803,"Staszów, ul. Mickiewicza 2, 28-200"
mBank Spółka Akcyjna,11401906,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
BNP Paribas Bank Polska Spółka Akcyjna,17501527,"Ruda Śląska, ul. Oświęcimska 9, 41-707"
ING Bank Śląski Spółka Akcyjna,10500015,"Katowice, ul. Sokolska 34, 40-086"
Bank Spółdzielczy w Leśnicy,89071063,"Chrząstowice, ul. Ozimska 37A, 46-053"
Santander Bank Polska Spółka Akcyjna,10902213,"Ziębice, Rynek 46/47, 57-220"
Bank Polska Kasa Opieki Spółka Akcyjna,12403813,"Szczecin, al. Wojska Polskiego 1, 70-470"
Bank Spółdzielczy w Pionkach,91410005,"Pionki, Plac Konstytucji 3 Maja 4, 26-670"
BNP Paribas Bank Polska Spółka Akcyjna,16001286,"Warszawa, al. Krakowska 2, 02-284"
Bank Spółdzielczy w Brodnicy,94841219,"Gdynia, ul. Morska 121A, 81-222"
Bank Polska Kasa Opieki Spółka Akcyjna,12406263,"Warszawa, ul. Nowoursynowska 166, 02-787"
Bank Polska Kasa Opieki Spółka Akcyjna,12401095,"Warszawa, ul. gen. Augusta Emila Fieldorfa ""Nila"" 18, 03-984"
Bank Polska Kasa Opieki Spółka Akcyjna,12403767,"Poznań, ul. Stary Rynek 97/98, 61-773"
Bank Polska Kasa Opieki Spółka Akcyjna,12403637,"Choszczno, ul. Rynek 4, 73-200"
Bank Spółdzielczy w Reszlu,88511034,"Bisztynek, ul. M.Konopnickiej 11, 11-230"
Bank Spółdzielczy w Sejnach,93541033,"Szypliszki, ul. Suwalska 25B, 16-411"
Santander Bank Polska Spółka Akcyjna,10900075,"Poznań, pl. Andersa 5, 61-894"
Bank Polska Kasa Opieki Spółka Akcyjna,12404908,"Dąbrowa Górnicza, ul. 3 Maja 14, 41-300"
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,19301624,"Białystok, al. Józefa Piłsudskiego 11/3 lok.1, 15-443"
Bank Polska Kasa Opieki Spółka Akcyjna,12401183,"Bydgoszcz, ul. Wojska Polskiego 20A, 85-858"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204870,"Świnoujście, ul. Piłsudskiego 5A, 72-600"
Bank Spółdzielczy w Podegrodziu,88140003,"Podegrodzie, Podegrodzie 223, 33-386"
Santander Bank Polska Spółka Akcyjna,10902428,"Oława, ul. 3 Maja 2A, 55-200"
Santander Bank Polska Spółka Akcyjna,15001605,"Piotrków Trybunalski, ul. Juliusza Słowackiego 67, 97-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12404748,"Nowy Sącz, ul. Jagiellońska 26, 33-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12406582,"Poznań, ul. Pamiątkowa 17, 61-505"
Santander Bank Polska Spółka Akcyjna,10901652,"Tychy, ul. Bałuckiego 4, 43-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12405686,"Grójec, ul. Bankowa 11, 05-600"
Bank Spółdzielczy w Rzepinie,83710009,"Rzepin, ul. Dworcowa 9, 69-110"
Mikołowski Bank Spółdzielczy w Mikołowie,84550000,"Rybnik, ul. Rynek 10, 44-200"
Bank Spółdzielczy w Janowie Lubelskim,94101010,"Chrzanów Trzeci (Chrzanów), Chrzanów Trzeci 111A, 23-305"
Kurpiowski Bank Spółdzielczy w Myszyńcu,89201011,"Łyse, ul. Henryka Sienkiewicza 38 A, 07-437"
Rejonowy Bank Spółdzielczy w Lututowie,90291010,"Witonia, ul. Główna 1a, 99-335"
Bank Spółdzielczy w Nowej Soli,96740006,"Nowa Sól, ul. Bankowa 1, 67-100"
Bank Spółdzielczy w Namysłowie,88901040,"Byczyna, ul. Chopina 1, 46-220"
Bank Spółdzielczy w Kazimierzu Dolnym,87310001,"Kazimierz Dolny, ul. Rynek 14, 24-120"
Bank Spółdzielczy w Jasionce,91700005,"Kamień, Kamień 297, 36-053"
Bank Spółdzielczy w Sierakowicach,83240001,"Sierakowice, ul. Kartuska 3, 83-340"
Bank Spółdzielczy w Brodnicy,94841189,"Bydgoszcz, ul. Pelplińska 41, 85-794"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204287,"Jarosław, ul. Grunwaldzka 9, 37-500"
Santander Bank Polska Spółka Akcyjna,10901144,"Kępno, ul. Kościuszki 6, 63-600"
Bank Spółdzielczy w Przysusze,91451040,"Wieniawa, ul. Kochanowskiego 80, 26-432"
Bank Polska Kasa Opieki Spółka Akcyjna,12404025,"Wrocław, ul. Ruska 51A, 50-079"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203668,"Opole, ul. Reymonta 39, 45-072"
Bank Spółdzielczy w Pińczowie,85091012,"Złota, ul. Sienkiewicza 77, 28-425"
ING Bank Śląski Spółka Akcyjna,10501139,"Bydgoszcz, ul. Mostowa 2, 85-110"
Bank Spółdzielczy w Brodnicy,94870004,"Chełmża, pl. Rynek 2, 87-140"
Nicolaus Bank Spółdzielczy w Toruniu,94860005,"Chełmno, ul. Polna 18, 86-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12403477,"Płońsk, ul. Młodzieżowa 28G, 09-100"
Nadsański Bank Spółdzielczy,94301061,"Rzeszów, ul. Rejtana 20, 35-310"
BNP Paribas Bank Polska Spółka Akcyjna,16001071,"Kraków, ul. Armii Krajowej 28, 61-569"
Spółdzielczy Bank Ludowy w Złotowie,89411029,"Krajenka, ul. Władysława Jagiełły 1, 77-430"
Bank Spółdzielczy w Legnicy,86491031,"Legnickie Pole, ul. Św.Jadwigi 7, 59-241"
Alior Bank Spółka Akcyjna,10600047,"Warszawa, ul. Łopuszańska 38D, 02-232"
Spółdzielczy Bank Ludowy w Kępnie,84131111,"Kobyla Góra, pl. Wiosny Ludów 1B, 63-507"
Bank Spółdzielczy w Kowalewie Pomorskim,94960008,"Kowalewo Pomorskie, ul. 1 Stycznia 14, 87-410"
Bank Spółdzielczy w Bargłowie Kościelnym,93340001,"Bargłów Kościelny, ul. Tysiąclecia 6A, 16-320"
Bank Polska Kasa Opieki Spółka Akcyjna,12405615,"Dobre Miasto, ul. Warszawska 12, 11-040"
BNP Paribas Bank Polska Spółka Akcyjna,17500038,"Warszawa, ul. Grzybowska 78, 00-844"
Santander Bank Polska Spółka Akcyjna,15002253,"Żory, ul. Bałdyka 2, 44-240"
Bank Polska Kasa Opieki Spółka Akcyjna,12404298,"Gliwice, ul. Berbeckiego 4, 44-100"
Morąsko-Zalewski Bank Spółdzielczy,88431013,"Morąg, ul. Pomorska 21, 14-300"
Bank Millennium Spółka Akcyjna,11602202,"Gdańsk, ul. Wały Jagiellońskie 10/16, 80-887"
Bank Polska Kasa Opieki Spółka Akcyjna,12402337,"Jasło, ul. Stanisława Staszica 6, 38-200"
Bank Ochrony Środowiska Spółka Akcyjna,15401056,"Poznań, ul. Jana Henryka Dąbrowskiego 79a, 60-529"
Bank Polska Kasa Opieki Spółka Akcyjna,12405354,"Gdynia, al. Zwycięstwa 245 lok. 4, 81-525"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa „Centrum”,71150008,"Bytom, ul. Stanisława Moniuszki 16A, 41-902"
ING Bank Śląski Spółka Akcyjna,10501520,"Poznań, ul. Półwiejska 2, 66-446"
Bank Polska Kasa Opieki Spółka Akcyjna,12402353,"Krosno, ul. Bieszczadzka 5, 38-400"
Spółdzielczy Bank Ludowy w Skalmierzycach,84310008,"Skalmierzyce, ul. Bankowa 2A, 63-460"
Bank Spółdzielczy w Ustce,93150004,"Ustka, ul. Marynarki Polskiej 38, 76-270"
Bank Spółdzielczy w Halinowie,80191010,"Wesoła, ul. I Praskiego Pułku 11, 05-075"
Bank Polska Kasa Opieki Spółka Akcyjna,12401372,"Kielce, ul. Sienkiewicza 18, 25-301"
Alior Bank Spółka Akcyjna,10600366,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Pieńsku,83820001,"Pieńsk, ul. Staszica 20, 59-930"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202847,"Drawsko Pomorskie, Plac Konstytucji 16, 78-500"
Bank Spółdzielczy w Juchnowcu Górnym,80740003,"Juchnowiec Górny, ul. Białostocka 4, 16-061"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201042,"Warszawa, ul. Targowa 42, 03-733"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204649,"Słupsk, ul. Jana Sobieskiego 30, 76-200"
Santander Bank Polska Spółka Akcyjna,10901711,"Koszalin, ul. 1 Maja 12, 75-800"
Alior Bank Spółka Akcyjna,10600409,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Oleśnicy,95841047,"Twardogóra, ul. Długa 1, 56-416"
Bank Spółdzielczy w Łososinie Dolnej,88180009,"Łososina Dolna, Łososina Dolna 285, 33-314"
Bank Spółdzielczy w Narwi,80860004,"Narew, ul. Dąbrowskiego 1, 17-210"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202124,"Jelenia Góra, ul. Różyckiego 6, 58-506"
ING Bank Śląski Spółka Akcyjna,10501777,"Warka, ul. Długa 13, 05-660"
BNP Paribas Bank Polska Spółka Akcyjna,16001332,"Rzeszów, al. Józefa Piłsudskiego 32, 35-001"
Santander Bank Polska Spółka Akcyjna,10900020,"Poznań, ul. Druskienicka 6, 60-476"
Bank Spółdzielczy w Człuchowie,93260006,"Człuchów, ul. Zamkowa 23, 77-300"
DNB Bank Polska Spółka Akcyjna,13701314,"Warszawa, ul. Postępu 15C, 02-676"
Bank Spółdzielczy w Ostrowi Mazowieckiej,89231034,"Stary Lubotyń, Stary Lubotyń 37, 07-303"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14400003,"Gdynia, ul. Kielecka 2, 81-303"
Bank Ochrony Środowiska Spółka Akcyjna,15401203,"Tarnów, ul. Krakowska 13, 33-100"
"Śląski Bank Spółdzielczy ""Silesia"" w Katowicach",84370002,"Katowice, ul. Kopernika 5, 40-064"
Bank Spółdzielczy w Połczynie Zdroju,85771015,"Drawsko Pomorskie, ul. Bolesława Chrobrego 2A, 78-500"
Bank Spółdzielczy w Zawadzkiem,89091032,"Olesno, ul. Mickiewicza 16, 46-300"
Międzypowiatowy Bank Spółdzielczy w  Myszkowie,82791023,"Woźniki, ul. Koziegłowska 4, 42-289"
Gospodarczy Bank Spółdzielczy w Barlinku,83551051,"Bogdaniec, ul. Mickiewicza 30, 66-450"
Bank Polska Kasa Opieki Spółka Akcyjna,12401024,"Warszawa, ul. Marszałkowska 89, 00-693"
Santander Bank Polska Spółka Akcyjna,10901870,"Warszawa, pl. Zbawiciela 2, 00-642"
Rejonowy Bank Spółdzielczy w Lututowie,92560004,"Lututów, ul. Klonowska 2, 98-360"
Bank Spółdzielczy w Gąbinie,90131013,"Szczawin Kościelny, ul. Warszawska 4, 09-550"
Bank Polska Kasa Opieki Spółka Akcyjna,12401819,"Łowicz, ul. Podrzeczna 22, 99-400"
Bank Spółdzielczy w Skawinie,86000002,"Skawina, Rynek 19, 32-050"
BNP Paribas Bank Polska Spółka Akcyjna,16001433,"Wrocław, al. Marcina Kromera 23d, 51-163"
Santander Bank Polska Spółka Akcyjna,10901809,"Katowice, al. Wojciecha Korfantego 5, 40-005"
SGB-Bank Spółka Akcyjna,16101234,"Bydgoszcz, ul. Marii Konopnickiej 20, 85-124"
Santander Bank Polska Spółka Akcyjna,15001647,"Radom, ul. Stefana Żeromskiego 72, 26-607"
Santander Bank Polska Spółka Akcyjna,15001588,"Ostrołęka, ul. Inwalidów Wojennych 6, 07-410"
mBank Spółka Akcyjna,11401036,"Łódź, ul. Piotrkowska 148/150, 90-063"
Bank Spółdzielczy w Działdowie z siedzibą w Lidzbarku,82151016,"Rybno, ul. Wyzwolenia 38, 13-220"
Bank Spółdzielczy w Janowie Lubelskim,94101036,"Dzwola, Dzwola 125A, 23-304"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202368,"Bytom, pl. Tadeusza Kościuszki 1, 41-902"
Bank Spółdzielczy w Pawłowicach,84470005,"Pawłowice, ul. Zjednoczenia 62B, 43-250"
Santander Bank Polska Spółka Akcyjna,10900091,"Poznań, ul. Wierzbięcice 1A, 61-569"
Bank Polska Kasa Opieki Spółka Akcyjna,12401112,"Warszawa, ul. Domaniewska 39A, 02-672"
Bank Pocztowy Spółka Akcyjna,13200064,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Spółdzielczy w Wysokiej,89400007,"Wysoka, ul. Strzelecka 1, 89-320"
Rejonowy Bank Spółdzielczy w Bychawie,86850001,"Bychawa, ul. Piłsudskiego 37, 23-100"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200159,"Częstochowa, Aleja Najświętszej Maryi Panny 19, 42-200"
BNP Paribas Bank Polska Spółka Akcyjna,17500113,"Poznań, ul. Stary Rynek 78, 61-772"
Bank Handlowy w Warszawie Spółka Akcyjna,10301061,"Warszawa, ul. Traugutta 7/9, 00-067"
Bank Polska Kasa Opieki Spółka Akcyjna,12404650,"Kraków, ul. Fabryczna 11, 31-553"
Powiatowy Bank Spółdzielczy w Tomaszowie Mazowieckim,89851030,"Ujazd, ul. Parkowa 2, 97-225"
Industrial and Commercial Bank of China (Europe) S.A. (Spółka Akcyjna) Oddział w Polsce,26200006,"Warszawa, pl. Trzech Krzyży 18, 00-499"
Bank Polska Kasa Opieki Spółka Akcyjna,12404201,"Andrychów, ul. Krakowska 140a, 34-120"
Bank Spółdzielczy Ziem Górskich KARPATIA,88020002,"Krynica-Zdrój, ul. Kraszewskiego 37, 33-380"
Credit Agricole Bank Polska Spółka Akcyjna,19401018,"Wrocław, pl. Orląt Lwowskich 1, 53-605"
ING Bank Śląski Spółka Akcyjna,10500291,"Katowice, ul. Chorzowska 50, 40-101"
Spółdzielczy Bank Ludowy w Złotowie,89410006,"Złotów, al. Piasta 46, 77-400"
Bank Spółdzielczy w Nasielsku,82261018,"Winnica, ul. Pułtuska 44, 06-120"
Bank Polska Kasa Opieki Spółka Akcyjna,12403187,"Gostynin, ul. R.Dmowskiego 8, 09-500"
Bank Spółdzielczy w Koninie,85300000,"Konin, ul. 3 Maja 68, 62-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12404344,"Imielin, ul. Imielińska 87, 41-407"
Santander Bank Polska Spółka Akcyjna,10902239,"Strzelce Opolskie, ul. Marka Prawego 24D, 47-100"
BNP Paribas Bank Polska Spółka Akcyjna,17500009,"Warszawa, ul. Grzybowska 78, 00-844"
Bank Polska Kasa Opieki Spółka Akcyjna,12406928,"Ostrzeszów, ul. Piastowska 16A, 63-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12402975,"Chorzów, ul. Wolności 39, 41-500"
Spółdzielczy Bank Ludowy w Złotowie,89411032,"Mirosławiec, ul. Wolności 26, 78-650"
Bank Spółdzielczy w Głownie,87870000,"Głowno, ul. Młynarska 5/13, 95-015"
Bank Spółdzielczy w Mońkach,80850005,"Mońki, ul. Wyzwolenia 13, 19-100"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431041,"Rokietnica, ul. Szamotulska 29, 62-090"
mBank Spółka Akcyjna,11401078,"Katowice, Aleja Walentego Roździeńskiego 1a, 40-202"
Bank Ochrony Środowiska Spółka Akcyjna,15401258,"Legnica, ul. Złotoryjska 4, 59-220"
Alior Bank Spółka Akcyjna,10600324,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Legionowie,80131029,"Nieporęt, pl. Wolności 2A, 05-126"
"Śląski Bank Spółdzielczy ""Silesia"" w Katowicach",81200003,"Kęty, ul. Jana III Sobieskiego 16, 32-650"
Alior Bank Spółka Akcyjna,10600379,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Polska Kasa Opieki Spółka Akcyjna,12404272,"Gliwice, ul. Prymasa Stefana Wyszyńskiego 6, 44-100"
mBank Spółka Akcyjna,11401225,"Rzeszów, ul. Sokoła 6, 35-010"
Bank Polska Kasa Opieki Spółka Akcyjna,12403998,"Grudziądz, ul. Groblowa 7, 86-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12405703,"Radom, ul. Tadeusza Kościuszki 2, 26-600"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202036,"Sulęcin, ul. Wojska Polskiego 12, 69-200"
Alior Bank Spółka Akcyjna,13000000,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Łukowie,92041011,"Stanin, Stanin 59, 21-422"
Narodowy Bank Polski,10101371,"Łódź, ul. Aleja T. Kościuszki 14, 90-950"
Bank Spółdzielczy w Bieczu,86271040,"Tarnowiec, Tarnowiec 219, 38-204"
Bank Polska Kasa Opieki Spółka Akcyjna,12405312,"Nowy Dwór Mazowiecki, ul. Juliusza Słowackiego 11, 05-100"
Bank Spółdzielczy w Siedlcach,91940007,"Siedlce, ul. Pusta 5/9, 08-100"
Bank Spółdzielczy w Niedrzwicy Dużej,86870009,"Niedrzwica Duża, ul. Lubelska 4, 24-220"
ING Bank Śląski Spółka Akcyjna,10501070,"Bielsko-Biała, ul. Gazownicza 5, 43-300"
Bank Spółdzielczy w Otwocku,80011028,"Wiązowna, ul. Lubelska 27, 05-462"
Bank Spółdzielczy w Przysusze,91451037,"Potworów, ul. Warszawska 5, 26-414"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204867,"Stargard Szczeciński, ul. Wyszyńskiego 10, 73-110"
Bank Spółdzielczy w Gogolinie,88831028,"Strzeleczki, Rynek 19, 47-364"
Bank Polska Kasa Opieki Spółka Akcyjna,12404605,"Kraków, Osiedle Kolorowe 10, 31-939"
AS Inbank Spółka Akcyjna - Oddział w Polsce,27200007,"Warszawa, ul. Fabryczna 5A, 00-446"
Bank Spółdzielczy w Stopnicy,85191015,"Tuczępy, Tuczępy 41, 28-142"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205226,"Wrocław, ul. ks. Piotra Skargi 1, 50-082"
Narodowy Bank Polski,10101704,"Zielona Góra, al. Wojska Polskiego 25, 65-950"
Bank Polska Kasa Opieki Spółka Akcyjna,12403044,"Pabianice, ul. Zamkowa 7, 95-200"
mBank Spółka Akcyjna,11401775,"Białystok, ul. Świętojańska 15, 15-277"
Bank Polska Kasa Opieki Spółka Akcyjna,12404621,"Kraków, Osiedle Centrum B 1, 31-926"
Bank Polska Kasa Opieki Spółka Akcyjna,12403161,"Koluszki, ul. 11 Listopada 20, 95-040"
Bank Spółdzielczy w Grudusku,82200004,"Grudusk, pl. Grunwaldu 4A, 06-460"
Beskidzki Bank Spółdzielczy,81110009,"Bielsko-Biała, ul. Komorowicka 272, 43-346"
Bank Spółdzielczy w Lubaczowie,91011013,"Wielkie Oczy, ul. Cerkiewna 7, 37-627"
Bank Polska Kasa Opieki Spółka Akcyjna,12403057,"Zgierz, ul. Długa 59, 95-100"
Bank Spółdzielczy Ziemi Szczecińskiej,93770000,"Gryfino, ul. Niepodległości 24, 74-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12404575,"Kraków, ul. Kazimierza Wielkiego 75, 30-074"
Alior Bank Spółka Akcyjna,10600050,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Polska Kasa Opieki Spółka Akcyjna,12406335,"Wołomin, ul. Miła 8/12, 05-200"
mBank Spółka Akcyjna,11401661,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431025,"Komorniki, ul. Poznańska 19A, 62-052"
ING Bank Śląski Spółka Akcyjna,10501751,"Jelenia Góra, Plac Księdza Kardynała Stefana Wyszyńskiego 54, 58-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12401662,"Kluczbork, ul. Grunwaldzka 13C, 46-203"
Nadsański Bank Spółdzielczy,94301045,"Krzeszów, ul. Rynek 23, 37-418"
Bank Spółdzielczy w Miliczu,95821023,"Krośnice, ul. Parkowa 9, 56-320"
mBank Spółka Akcyjna,11401573,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Bank Spółdzielczy w Jabłonce,87980002,"Jabłonka, ul. Krakowska 3, 34-480"
Bank Spółdzielczy w Ząbkowicach Śląskich,95331027,"Ciepłowody, pl. Adama Mickiewicza 4, 57-211"
Nadsański Bank Spółdzielczy,94301016,"Bojanów, ul. Parkowa 5, 37-433"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201185,"Warszawa, ul. Skierniewicka 21, 01-230"
Bank Spółdzielczy w Pińczowie,85090002,"Pińczów, pl. Wolności 21, 28-400"
Bank Spółdzielczy w Białobrzegach,91171010,"Przytyk, ul. Zachęta 2, 26-650"
Bank Polska Kasa Opieki Spółka Akcyjna,12406322,"Warszawa, Aleja Jana Pawła II 29, 00-867"
Bank Spółdzielczy w Kościanie,86660004,"Kościan, Rynek 23, 64-000"
Bank Polska Kasa Opieki Spółka Akcyjna,12402265,"Elbląg, ul. Hetmańska 3, 82-300"
Bank Spółdzielczy w Łaskarzewie,92170001,"Łaskarzew, Duży Rynek 31, 08-450"
Bank Polska Kasa Opieki Spółka Akcyjna,12406289,"Warszawa, ul. Witosa 31, 00-710"
Spółdzielczy Bank Ludowy im.Ks.P.Wawrzyniaka,90841026,"Książ Wielkopolski, ul. Wichury 4A, 63-130"
Bank Polska Kasa Opieki Spółka Akcyjna,12404663,"Kraków, ul. Bora-Komorowskiego 25d, 31-476"
Bank Spółdzielczy w Łomży,87570001,"Łomża, Aleja Legionów 5, 18-400"
Santander Bank Polska Spółka Akcyjna,10901375,"Gniezno, ul. Sienkiewicza 17, 62-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12402601,"Radymno, ul. Rynek 15, 37-550"
mBank Spółka Akcyjna,11401212,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Santander Bank Polska Spółka Akcyjna,15001272,"Warszawa, ul. Puławska 62/64, 02-603"
BNP Paribas Bank Polska Spółka Akcyjna,16001446,"Lublin, ul. Tomasza Zana 35, 20-601"
DNB Bank Polska Spółka Akcyjna,13701037,"Warszawa, ul. Postępu 15C, 02-676"
Bank Spółdzielczy w Węgorzewie,93480000,"Węgorzewo, ul. Pionierów 27, 11-600"
Bank Ochrony Środowiska Spółka Akcyjna,15401072,"Olsztyn, ul. Mikołaja Kopernika 38, 10-513"
Bank Spółdzielczy w Leśnicy,89071092,"Pawonków, ul. Zawadzkiego 9, 42-772"
Bank Handlowy w Warszawie Spółka Akcyjna,10301117,"Olsztyn, Pstrowskiego 16, 10-602"
DNB Bank Polska Spółka Akcyjna,13701079,"Warszawa, ul. Postępu 15C, 02-676"
Alior Bank Spółka Akcyjna,10600089,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Zawadzkiem,89091016,"Kolonowskie, ul. Leśna 4A, 47-110"
naturoBank Bank Spółdzielczy,89730003,"Piotrków Trybunalski, ul. Wojska Polskiego 141A, 97-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12404894,"Żywiec, ul. Kościuszki 46, 34-300"
Santander Bank Polska Spółka Akcyjna,15001070,"Warszawa, ul. Ludwika Kondratowicza 35, 03-285"
DNB Bank Polska Spółka Akcyjna,13701327,"Warszawa, ul. Postępu 15C, 02-676"
Bank Spółdzielczy w Rymanowie,86361015,"Nowy Żmigród, ul. Mickiewicza 1, 38-230"
Bank Spółdzielczy w Staszowie,94310005,"Staszów, ul. Kościelna 25, 28-200"
Bank Pocztowy Spółka Akcyjna,13201999,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Santander Bank Polska Spółka Akcyjna,10902183,"Kędzierzyn-Koźle, ul. Wojska Polskiego 2, 47-220"
Bank Spółdzielczy w Nidzicy,88341035,"Janowiec Kościelny, Janowiec Kościelny 63, 13-111"
Santander Bank Polska Spółka Akcyjna,15001735,"Tarnobrzeg, ul. Henryka Sienkiewicza 45, 39-400"
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,19301031,"Wrocław, Rynek 34, 50-102"
PLUS BANK Spółka Akcyjna,16800007,"Warszawa, Al. Stanów Zjednoczonych 61A, 04-028"
Bank Spółdzielczy w Lubyczy Królewskiej,96170005,"Lubycza Królewska, ul. Kolejowa 14, 22-680"
Bank Polska Kasa Opieki Spółka Akcyjna,12405484,"Gdańsk, ul. Piecewska 31, 80-288"
DNB Bank Polska Spółka Akcyjna,13701301,"Warszawa, ul. Postępu 15C, 02-676"
Bank Spółdzielczy w Brodnicy,94841163,"Świecie, ul. Kardynała Wyszyńskiego 15, 86-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12401851,"Ełk, ul. Piłsudskiego 12-14, 19-300"
ING Bank Śląski Spółka Akcyjna,10500347,"Katowice, ul. Chorzowska 50, 40-101"
Bank Spółdzielczy w Mławie,82250009,"Mława, ul. Sądowa 3, 06-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12402294,"Kraków, ul. Szpitalna 15, 30-960"
Bank Polska Kasa Opieki Spółka Akcyjna,12402890,"Białystok, ul. Sienkiewicza 40, 15-092"
Nest Bank Spółka Akcyjna,18701016,"Warszawa, ul. Domaniewska 39A, 02-672"
Krakowski Bank Spółdzielczy,85910007,"Kraków, Rynek Kleparski 8, 31-150"
Bank Gospodarstwa Krajowego,11301105,"Rzeszów, al. Tadeusza Rejtana 20B, 35-310"
Santander Bank Polska Spółka Akcyjna,15002295,"Łódź, al. Piłsudskiego 76, 90-330"
Santander Bank Polska Spółka Akcyjna,10902431,"Strzelin, ul. Książąt Brzeskich 7, 57-100"
Bank Spółdzielczy w Piasecznie,80021014,"Konstancin Jeziorna, ul. Wilanowska 1, 05-520"
Santander Bank Polska Spółka Akcyjna,10902444,"Środa Śląska, ul. Wrocławska 11A, 55-300"
Credit Agricole Bank Polska Spółka Akcyjna,19401177,"Wrocław, pl. Orląt Lwowskich 1, 53-605"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201026,"Warszawa, ul. Mickiewicza 25, 01-551"
Bank Spółdzielczy w Szczekocinach,82770002,"Szczekociny, ul. Żeromskiego 8, 42-255"
Bank Polska Kasa Opieki Spółka Akcyjna,12400001,"Warszawa, ul. Żubra 1, 01-066"
mBank Spółka Akcyjna,11401137,"Szczecin, ul. Zbożowa 4, 70-653"
Bank Polska Kasa Opieki Spółka Akcyjna,12403451,"Tuszyn, ul. Piotrkowska 2/4, 95-080"
Bank Polska Kasa Opieki Spółka Akcyjna,12403015,"Łódź, al. Kościuszki 63, 90-514"
Bank Polska Kasa Opieki Spółka Akcyjna,12404559,"Kraków, ul. Pijarska 1, 31-015"
Bank Spółdzielczy Ziemi Szczecińskiej,93950008,"Police, ul. 26 Kwietnia 5, 72-009"
Powiatowy Bank Spółdzielczy w Zamościu,96030006,"Dołhobyczów, ul. Partyzantów 3, 22-540"
Bank Spółdzielczy w Niemcach,87021011,"Spiczyn, Spiczyn 10C, 21-077"
Santander Bank Polska Spółka Akcyjna,10900033,"Zakrzewo, Zakrzewo 15, 62-270"
Bank Spółdzielczy w Ostrowcu Świętokrzyskim,85070004,"Ostrowiec Świętokrzyski, ul. Wardyńskiego 15A, 27-400"
Bank Spółdzielczy Lwówek Śląski w Lwówku Śląskim,83841022,"Lubomierz, pl. Wolności 53, 58-536"
